ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P15YM_AN,GRAPROES,Mun,Loc,Ageb,Manza,Key
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,54,0,0,079,0001,0025,054,3107900010025054
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,56,0,0,079,0001,0025,056,3107900010025056
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,25,57,0,0,079,0001,0025,057,3107900010025057
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,1,5,8.03,079,0001,0468,001,3107900010468001
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,2,,7.45,079,0001,0468,002,3107900010468002
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,3,7,7.61,079,0001,0468,003,3107900010468003
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,4,,8.74,079,0001,0468,004,3107900010468004
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,5,3,7.46,079,0001,0468,005,3107900010468005
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,6,4,6.84,079,0001,0468,006,3107900010468006
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,7,5,7.89,079,0001,0468,007,3107900010468007
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,8,0,0,079,0001,0468,008,3107900010468008
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,9,,,079,0001,0468,009,3107900010468009
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,10,,,079,0001,0468,010,3107900010468010
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,11,3,8.78,079,0001,0468,011,3107900010468011
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,12,,8.56,079,0001,0468,012,3107900010468012
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,13,0,8.63,079,0001,0468,013,3107900010468013
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,14,6,7.22,079,0001,0468,014,3107900010468014
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,15,3,8.9,079,0001,0468,015,3107900010468015
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,16,9,9.03,079,0001,0468,016,3107900010468016
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,17,3,8.18,079,0001,0468,017,3107900010468017
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,18,5,7.72,079,0001,0468,018,3107900010468018
